,"id, table_id",table_body,caption,references
10,S4.T4,bot flow victimcentr ms attackercentr ms interv ms 1 1900 600 5 2 2800 800 10 3 4400 1200 15,tabl iv variou mitig time for iiot bot,we employ a mont carlo tool to wit the perform comparison between victimcentr solut with fleam fig 3 present combin pattern of the abov malici code in more detail bot gener ddo traffic at random interv of 5 10 and 15 microsecond it take 7 microsecond to analyz each flow for a defend we further adopt the averag process time shown in tabl iv 10
11,S5.T5,botnet classic model per sec fleam per sec classic model per hour fleam per hour botnetcanada 0157 0558 0566 2009 botnetth uk 0140 0496 0504 1786 botnetfr 0117 0413 0420 1488 botnetth us 0105 0372 0378 1340,tabl v the attack expens in variou countri,
12,S7.T6,characterist fleam classic detect element polici and packet symbol packet pattern onli mitig occur along attack path at the victim end solut focu technolog and expens technolog onli intellig placement distribut attackercentr central victimcentr mitig strategi collabor and activ individu and passiv system perform more accur faster less accur slow,tabl vi characterist comparison,nowaday cybercrimin attack a victim from network zombi root in distribut network previou solut focu on technolog improv while passiv wait for malici code at the victim end an attack coordin bot behind the internet while a defend fight against ddo individu due to it resourc constraint and enorm scale attack get a cheap armi of iiot botnet to attack a target at will gain outstand profit from individu defend fleam address such embarrass by bring attack and defend to the same surfac within the defend allianc tabl vi summar variou characterist of fleam and previou solut
13,S3.T1,dataset th averag bestworst 10 varianc synthet iid 7247 9185 4319 179 6867 9425 3630 245 synthet 0505 6621 9830 2251 536 5281 9979 0 1350 synthet 11 6417 100 767 937 5524 100 0 1439,tabl 1 impact of bias client select on fair qfedavg threshold th indic whether consid the 70 elig ratio bestworst 10 indic the top 10 bestworst accuraci,
14,S5.T2,synthetic1170 averag bestworst 10 varianc qfedavgbias 5500 100 0 1439 traqfedavg10 6163 100 601 1031 traqfedavg30 5944 100 411 1021 traqfedavg50 5099 9997 0 1220 synthetic2270 averag bestworst 10 varianc qfedavgbias 6234 100 0 1584 traqfedavg10 6972 100 981 870 traqfedavg30 5538 9969 0 1109 traqfedavg50 5500 9998 281 1125,tabl 2 client base fair perform of qfedavg with bias select vs traqfedavg with differ packet loss ratio the gray color highlight the best perform algorithm,
15,A2.T1,symbol physic mean nnmathcaln the set of client particip in crosssilo fl dnsubscriptdnmathcaldn the set of local data of client nnnnninmathcaln dnsubscriptdndn the number of local data sampl in set dnsubscriptdnmathcaldn xnsubscriptxnmathcalxn the subset of local data that client nnn choos to perform model train xnsubscriptxnxn the size of the chosen subset xnsubscriptxnmathcalxn xxboldsymbolx the vector of client chosen strategi bbb the total amount of chosen local data ie bnnxnbsubscriptnnsubscriptxnbsumninmathcalnxn dn isubscriptdniboldsymboldni the iiith data sampl in set xnsubscriptxnmathcalxn wwboldsymbolw the paramet vector of the global model l wlwlboldsymbolw the global loss function under wwboldsymbolw ln wsubscriptlnwlnboldsymbolw the local loss function of client nnn under wwboldsymbolw l wdn ilwsubscriptdnilboldsymbolwboldsymboldni the loss function for data sampl dn isubscriptdniboldsymboldni under wwboldsymbolw ggg the number of iter in a crosssilo fl process a xaxaboldsymbolx the model accuraci loss under xxboldsymbolx e xnesubscriptxnmathcalexn the comput cost of client nnn cnsubscriptcncn the commun cost of client nnn ppp the payment that each client pay the central server rnsubscriptnrhon client nnn valuat for the model accuraci fn xnxnsubscriptfnsubscriptxnsubscriptxnfnxnboldsymbolxn the total cost of each client nnnnninmathcaln,tabl i key notat,
16,S5.T1,c 1 c 2 c 3 c 4 c 5 c 6 c 7 c 8 c 9 c 10 c 11 c 12 c 13 c 14 c 15 feel model 46 379 452 448 373 755 807 832 79 79 773 766 779 764 775 model 1 0 0 0 0 0 771 833 86 816 82 818 815 825 796 809 model 2 0 0 816 76 776 0 838 855 0 827 801 0 845 82 818 model 3 833 0 77 67 779 768 0 0 0 827 0 0 0 0 0 model 4 0 745 0 0 0 0 825 83 752 0 0 0 0 0 0 model 5 833 786 0 0 0 768 0 0 752 0 0 768 0 0 0 model 6 833 745 769 672 779 0 0 0 0 0 0 0 0 0 0 max acc 833 786 816 76 779 771 838 86 816 827 818 815 845 82 818,tabl i test accuraci of all result model a feel base model as well as more special model for the differ cluster the propos schedul algorithm and the baselin algorithm cclient,from the present result in tabl i one can observ that the train process use both schedul algorithm ha result in multipl model for everi client a feel base model as well as more special model for the differ cluster note that the propos algorithm produc three more special model from tabl ia one can notic that in the result of the propos algorithm all client attain satisfi accuraci highlight in green and the perform gap is about 10percent1010 onli in contrast in tabl ib about 1313frac13 of the test client client 1 2 3 4 and 5 attain bad accuraci highlight in red the perform gap reach up to 304percent304304 indic that some model are still bias to those frequent select client overal our result demonstr that the propos schedul algorithm outperform the baselin schedul algorithm method in term of cluster qualiti not onli with more special model but also on acceler the converg rate and reduc the cost
17,S5.T1.st1,c 1 c 2 c 3 c 4 c 5 c 6 c 7 c 8 c 9 c 10 c 11 c 12 c 13 c 14 c 15 feel model 46 379 452 448 373 755 807 832 79 79 773 766 779 764 775 model 1 0 0 0 0 0 771 833 86 816 82 818 815 825 796 809 model 2 0 0 816 76 776 0 838 855 0 827 801 0 845 82 818 model 3 833 0 77 67 779 768 0 0 0 827 0 0 0 0 0 model 4 0 745 0 0 0 0 825 83 752 0 0 0 0 0 0 model 5 833 786 0 0 0 768 0 0 752 0 0 768 0 0 0 model 6 833 745 769 672 779 0 0 0 0 0 0 0 0 0 0 max acc 833 786 816 76 779 771 838 86 816 827 818 815 845 82 818,a propos schedul algorithm,from the present result in tabl i one can observ that the train process use both schedul algorithm ha result in multipl model for everi client a feel base model as well as more special model for the differ cluster note that the propos algorithm produc three more special model from tabl ia one can notic that in the result of the propos algorithm all client attain satisfi accuraci highlight in green and the perform gap is about 10percent1010 onli in contrast in tabl ib about 1313frac13 of the test client client 1 2 3 4 and 5 attain bad accuraci highlight in red the perform gap reach up to 304percent304304 indic that some model are still bias to those frequent select client overal our result demonstr that the propos schedul algorithm outperform the baselin schedul algorithm method in term of cluster qualiti not onli with more special model but also on acceler the converg rate and reduc the cost
18,S5.T1.st2,c 1 c 2 c 3 c 4 c 5 c 6 c 7 c 8 c 9 c 10 c 11 c 12 c 13 c 14 c 15 feel model 507 416 492 464 415 731 801 821 765 778 77 773 767 761 777 model 1 0 0 0 0 0 785 845 865 821 814 815 799 81 799 811 model 2 0 0 0 524 565 0 783 758 779 727 0 0 787 782 674 model 3 597 611 625 0 0 82 0 0 0 0 828 679 0 0 0 model 4 597 611 625 524 565 0 0 0 0 0 0 0 0 0 0 max acc 597 611 625 524 565 82 845 865 821 814 828 799 81 799 811,b baselin schedul algorithm,from the present result in tabl i one can observ that the train process use both schedul algorithm ha result in multipl model for everi client a feel base model as well as more special model for the differ cluster note that the propos algorithm produc three more special model from tabl ia one can notic that in the result of the propos algorithm all client attain satisfi accuraci highlight in green and the perform gap is about 10percent1010 onli in contrast in tabl ib about 1313frac13 of the test client client 1 2 3 4 and 5 attain bad accuraci highlight in red the perform gap reach up to 304percent304304 indic that some model are still bias to those frequent select client overal our result demonstr that the propos schedul algorithm outperform the baselin schedul algorithm method in term of cluster qualiti not onli with more special model but also on acceler the converg rate and reduc the cost
19,Sx4.T1,mnist fashion mnist cifar 10 cifar 100 standalon 9574 8352 5534 1828 fedavg 9883 8566 6421 3862 dpenabl fedavg 9885 8529 6411 3790 twobit 9883 8542 6423 3833,tabl 1 comparison of achiev accuraci of the propos aggreg versu other solut,first we compar our propos mechan with fedavg mcmahan et al 2017 fedavg with dp mcmahan et al 2018 and a standalon agent with no fl for a fair comparison we have adjust the paramet of the addit nois in dpenabl fedavg to yield a similar italicepsilon as our method tabl 1 show the averag accuraci of the model after converg as shown in tabl 1 the propos twobit aggreg alway achiev almost the same accuraci as the other fl method thi show that the propos framework will not impact the fl process in term of perform while provid dp and commun effici
20,S1.T1,paper key topic recent advanc in fl taxonomi highlight resourc manag secur and privaci incent mechan person fl 9 fl concept none a discuss of the architectur algorithm and data process method in fl system 10 fl concept none a survey of the fl concept technolog and associ learn approach 11 secur and privaci in fl none a review on the secur and privaci issu in fl system 16 fl in edg network none a survey on the integr of fl in mobil edg network 12 fl for iot none a survey on the use of fl in iot network 13 fl for iiot the discuss of fl in healthcar is veri limit a survey on the combin of fl and iiot mostli focus on technic issu in fl implement 14 fl for health informat the discuss of fl in healthcar is veri limit a studi on the fl architectur and model with a veri short introduct to healthcar 15 fl for digit health the discuss of fl in healthcar is veri limit a discuss of technic issu and requir of fl in digit health our work fl for smart healthcar a holist taxonomi is present a comprehens survey on the use of fl in smart healthcar from motiv requir to fl design and applic in a wide rang of healthcar domain,tabl 1 exist survey on flrelat topic and our new contribut,driven by the recent advanc of fl mani studi have been conduct to survey it relat topic includ healthcar for exampl the work in 9 and 10 present the key fl concept and it enabl protocol and technic challeng in fl design and implement the survey in 11 discuss the secur and privaci issu in fl system and describ possibl solut for evalu of malici threat in fl network the integr of fl in mobil edg network is investig in 16 where challeng in fl implement are explor such as commun cost resourc alloc and privaci and secur meanwhil the converg of fl and internetofth iot is explor in 12 by provid a survey on the technic issu in fl design such as sparsif robust privaci and scalabl along with a brief discuss of fl applic in iot moreov the author in 13 present an overview of the fl applic in industri iot where the focu is on the discuss of characterist and fundament of fl while the discuss of fl usag in healthcar is limit the work in 14 mainli discuss the fl architectur and model with a veri brief introduct to the role of fl in healthcar informat anoth studi in 15 mostli consid technic issu and requir of use fl in futur digit health howev the latest advanc in fl such as resourceawar fl secur and privacyenhanc fl incentiveawar fl and person fl have not been fulli explor the comparison of the relat work and our paper is summar in tabl 1
21,S4.T2,theme ref fl type fl client fl aggreg key contribut limit potenti direct resourc alloc yang2020schedul hfl iomt devic cloud server impact of schedul polici on the converg rate onli three base schedul polici are consid nguyen2020toward hfl smart devic edg server a resourc alloc for multipl fl servic the propos algorithm are not evalu on the health dataset xu2021bandwidth hfl smart devic edg server each devic run onli one fl servic and bandwidth alloc scheme for intra and interservic is propos the propos algorithm are not evalu on the health dataset secur fl li2021blockchain hfl vfl smart devic serverless bockchain for decentr fl updat and the impact of lazi node are studi blockchain may increas the comput requir of smart devic bonawitz2016pract gener fl fl user aggreg server a semin approach of secur aggreg for fl the propos method is examin on the nonhealth dataset so2021turbo gener fl fl user aggreg server an effici secur aggreg method name turboaggreg onli numer result are report,tabl 2 summari of recent advanc in fl design for smart healthcar,we summar thi section in the taxonomi tabl 2 and tabl 3 along with the key technic aspect of each refer work to provid more insight into the recent advanc fl design for smart healthcar
22,S4.T3,theme ref fl type fl client fl aggreg key contribut limit potenti direct privaci enhanc fl wu2021incentiv hfl iomt devic cloud server a privacypreserv fl approach with multidimension cost the propos approach is evalu via numer simul malekzadeh2021dopamin hfl hospit cloud server a method is propos to balanc the differenti privaci guarante and deep learn accuraci advanc encrypt is need for privaci enhanc 38 hfl smart phone fl server a studi on the tradeoff between privaci protect and train accuraci the converg of fl algorithm ha not been verifi kerkouche2021privaci hfl hospit central server a privacypreserv resourc alloc name flsigndp is develop ai techniqu such as drl can be adopt at the server to exploit the histor sampl incent awar fl sarikaya2019motiv hfl iomt devic fl server a stackelberg game is propos to stimul the particip of iomt devic result are report use numer result onli tangincent crosssilo fl hospit data centr a noncoop game approach is use to devis an incent mechan for resourc alloc the model is develop base on the assumpt of iid data among hospit zhao2021effici hfl smart devic fl server a drlbase approach to evalu the contribut of data owner a reward model can be develop to encourag the particip of more fl user person fl 45 hfl inhom sens devic cloud server a edgecloud fl architectur is propos for inhom healthcar servic the converg of the propos fl algorithm ha not been report gudur2020resourc hfl iomt devic fl server an aalphaweight updat is propos to mitig the effect of label heterogen the converg of fl algorithm ha not been verifi rudovic2021person hfl smart devic fl server a person fl approach is develop to predict the pain via face imag the challeng caus by data imbal should be further investig,tabl 3 summari of recent advanc in fl design for smart healthcar continu,we summar thi section in the taxonomi tabl 2 and tabl 3 along with the key technic aspect of each refer work to provid more insight into the recent advanc fl design for smart healthcar
23,S5.T4,appli domain ref fl type fl client fl aggreg key contribut limit ehr manag 35 hfl hospit cloud server a collabor learn with fl for ehr process converg of the fl algorithm ha not been verifi 36 hfl smart phone data server an fl scheme for predict hospit of patient the propos model is simpl and lack detail evalu 38 hfl hospit data server an differenti privacybas fl for feder ehr train the feasibl of differenti privaci in realworld fl implement should be consid 40 hfl radiolog client center cloud server an flbase scheme with split learn for ehr train the propos model is simpl and train complex is not verifi 42 hfl hospit data server uncertainti fl for pretermbirthrel data analyt the complex of local train at each hospit should be analyz health monitor 45 vfl smart phone cloud server a person fl scheme for remot activ recognit monitor secur aggreg in fl commun ha not consid 46 ftl wearabl devic cloud server a person fl scheme with transfer learn for human activ recognit commun cost and train complex have not been verifi 47 hfl hospit cloud server a twostag feder natur languag process approach for obes analyt the privaci preserv for fl train should be consid 48 vfl mobil devic cloud server an flbase mobil activ monitor approach for support healthcar applic the comparison with other noniidawar fl techniqu ha been ignor 49 hfl medic site data centr an flbase approach for larg nationwid health insur data analyt in the us issu relat to feder agreement among medic site need to be clarifi in realworld set 50 hfl mobil devic data centr an flbase method to predict mood use mobil devic the train resourc usag and privaci should be consid in mobil fl,tabl 4 taxonomi of fl applic for smart healthcar,in summari we list the emerg applic of fl in smart healthcar in the taxonomi tabl 4 and tabl 5 along with the key technic aspect of each refer work to provid more insight into the integr flhealthcar use case
24,S5.T5,appli domain ref fl type fl client fl aggreg key contribut limit medic imag 53 vfl hospit cloud server a variationawar fl scheme for medic imag construct learn accuraci ha not been investig 54 hfl mri scan machin feder server a privacyenhanc fl scheme for brain imag fl converg ha not been investig 55 hfl medic site data centr an flbase mri analyt framework for brain imag the practic aspect of the feder mri train should be taken 58 hfl hospit data centr an fl scheme for support diagnosi of acut neurolog symptom the propos model is too simpl and more simul need to be done 59 hfl hospit data centr an flbase medic imag approach with differenti privaci for collabor secur train comparison of dl techniqu in fl simul ha not been perform covid19 detect 68 hfl hospit data centr an fl scheme for collabor covid19 detect the propos model is simpl with a lack of detail analysi 69 hfl hospit data centr a number of experi for covid19 detect with fl the converg of fl algorithm ha not been verifi 70 hfl data client data centr a dynam fusionbas fl method for ct scan imag analysi to diagnos covid19 infect learn effici eg latenc ha not been verifi 71 hfl medic institut data centr an flbase solut for covid19 screen from chest xray imag data loss caus by fl commun ha not been consid 74 vfl hospit aggreg a feder deep learn method for detect covid19 lung abnorm in ct train latenc ha not been analyz 73 vfl medic institut cloud server an fl method for covid region segment in chest ct use multin data from china itali japan theoric analysi of fl commun and converg should be provid,tabl 5 taxonomi of fl applic for smart healthcar continu,in summari we list the emerg applic of fl in smart healthcar in the taxonomi tabl 4 and tabl 5 along with the key technic aspect of each refer work to provid more insight into the integr flhealthcar use case
25,S4.T1,linear regress lasso regress logist regress neural network name comm iter comm iter comm iter comm norm squar grad chb 465 109 424 108 546 5324 1083 62402x10662402superscript106mathbf62402tim 106 hb 107110711071 119119119 107110711071 119119119 532445324453244 591659165916 450045004500 63354x10663354superscript10663354tim 106 lag 799799799 203203203 608608608 197197197 864864864 924892489248 136113611361 37549x10537549superscript10537549tim 105 gd 191719171917 213213213 189918991899 211211211 888668886688866 987498749874 450045004500 37885x10537885superscript10537885tim 105,tabl i perform comparison for the ijcnn1 dataset the object error is 107superscript107107 107superscript107107 and 105superscript105105 for linear regress lasso regress and logist regress respect the fix number of iter for train a neural network is 500500500,we also evalu the perform of chb for train a rel small neural network with one hidden layer with 303030 node for train the neural network all algorithm are stop after 500500500 iter with the step size a002002alpha002 while employ the regular paramet l149990149990lambda149990 for chb and censoringbas gd we choos e1001subscript1001varepsilon1001 compar to hb gd and censoringbas gd figur 5c and figur 5d illustr that chb ha competit converg perform for thi nonconvex problem with the smallest number of commun tabl i summar the number of commun and iter to attain a given object error which indic the desir perform of chb in term of commun save and converg rate for linear and lasso regress chb reduc the commun to less than half that need for hb and for logist regress the commun are reduc by two order of magnitud compar to hb for the neural network train exampl chb and hb reduc the norm squar of the gradient by an order of magnitud compar to censoringbas gd and gd and chb use onli 24percent2424 of the commun need for hb addit numer result on other real dataset and discuss of the impact of step size are given next
26,S4.T2,linear regress lasso regress logist regress neural network name comm iter comm iter comm iter comm norm squar grad chb 559 287 329 70 772 1842 1436 23566x10423566superscript104mathbf23566tim 104 hb 280828082808 312312312 675675675 757575 175951759517595 195519551955 450045004500 23547x10423547superscript10423547tim 104 lag 762762762 507507507 522522522 130130130 117911791179 315231523152 189918991899 29703x10429703superscript10429703tim 104 gd 482448244824 536536536 122412241224 136136136 294392943929439 327132713271 450045004500 29752x10429752superscript10429752tim 104,tabl ii perform comparison in the ionospher adult and derm dataset the object error is 107superscript107107 for all linear regress task the fix number of iter for train the neural network is 500500500,to promot comparison we first use the same real dataset with the same setup as 54 specif we consid linear regress with the hous bodi fat and abalon dataset and logist regress with the ionospher adult fat and derm dataset we evenli split each dataset into three worker and employ the minim number of featur among all dataset as the number of featur use in the test addit we also consid lasso regress with the ionospher adult fat and derm dataset in all these regress task we choos a1l1lalpha1l for all four algorithm for chb and censoringbas gd we choos e101a2 m2subscript101superscript2superscriptm2varepsilon101alpha2m2 for hb and chb we choos b0404beta04 the valu of the regular paramet for logist regress and lasso regress are l00010001lambda0001 and l0101lambda01 respect all regress task stop when the object error is less than 107superscript107107 furthermor we consid train a neural network with adult fat dataset where we choos a001001alpha001 for all algorithm for chb and censoringbas gd we choos e1001subscript1001varepsilon1001 again for hb and chb we choos b0404beta04 the regular paramet we choos for the neural network is l1160511605lambda11605 the optim process is stop after 500500500 iter for train the neural network figur 6 and figur 7 indic the effect of chb in term of commun reduct for the four learn task consid in thi paper the specif result are summar in tabl ii
27,S4.T3,linear regress lasso regress logist regress neural network name comm obj error comm obj error comm obj error comm norm squar grad chb 191 31077x10331077superscript103mathbf31077tim 103 191 30901x10330901superscript103mathbf30901tim 103 45 05621 1123 54545x10554545superscript105mathbf54545tim 105 hb 180001800018000 36170x10336170superscript10336170tim 103 180001800018000 35995x10335995superscript10335995tim 103 180001800018000 401024010240102 450045004500 54850x10554850superscript10554850tim 105 lag 179179179 86826x10386826superscript10386826tim 103 184184184 86483x10386483superscript10386483tim 103 909090 126540126540126540 153215321532 75920x10575920superscript10575920tim 105 gd 180001800018000 91365x10391365superscript10391365tim 103 180001800018000 91007x10391007superscript10391007tim 103 180001800018000 161719161719161719 450045004500 76681x10576681superscript10576681tim 105,tabl iii perform comparison in the mnist dataset at the accomplish of the largest number of iter,we next test the perform of chb on a larger dataset mnist 63 in all regress task we set e101a2 m2subscript101superscript2superscriptm2varepsilon101alpha2m2 for chb and censoringbas gd for hb and chb we set b0404beta04 the largest number of iter for each algorithm in each regress task is fix to be 200020002000 for linear regress and lasso regress we set a108superscript108alpha108 for logist regress we use a106superscript106alpha106 the valu of regular paramet for lasso regress and logist regress are l0505lambda05 and l00010001lambda0001 respect in train a neural network with the regular paramet l160000160000lambda160000 we choos a002002alpha002 for all algorithm for chb and censoringbas gd we choos e1001subscript1001varepsilon1001 for hb and chb we choos the constant b0404beta04 the largest number of iter is set to be 500500500 in train a neural network in figur 8 and figur 9 for the fix total number of iter chb show a competit commun save perform while maintain a rel smaller object error compar to gd and censoringbas gd specif result are summar in tabl iii
